nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
do what you're doin',Do What Your Doin',the rising sun,The Rising Sun,0.9474,1.0
almost ma set again,Almost Ma Sel Again,jesse rae,Jesse Rae,0.9474,1.0
green fuzz,Green Fuz,the cramps,The Cramps,0.9474,1.0
a street that rhymes at 6 a.m.,A Street That Rhymes at 6am,norma tanega,Norma Tanega,0.9474,1.0
paint work,Paintwork,the fall,The Fall,0.9474,1.0
love's labour lost,Love's Labour's Lost,love spirals downwards,Love Spirals Downwards,0.9474,1.0
trippy as,Trippy Gas,alex kassian,Alex Kassian,0.9474,1.0
messages from the stars (atjazz remix),Messages from the Stars - Atjazz Remix,the rah band,The Rah Band,0.9474,1.0
les fleur,Les Fleurs,minnie riperton,Minnie Riperton,0.9474,1.0
areoplane (reprise),Aeroplane (Reprise),wee,Wee,0.9474,1.0
mr. sunshine pt. 1,Mr. Sunshine - Pt. 1,george smallwood & marshmallow band,George Smallwood;Marshmellow Band,0.9474,0.9118
i won't be your fool,Won't Be Your Fool,escape from new york,Escape from New York,0.9474,1.0
lotus 72 d,Lotus 72D,ze roberto,Zé Roberto,0.9474,0.9
that's the way love is (underground mix/extended version),That's The Way Love Is - Underground Mix-Extended Version,ten city,Ten City,0.9474,1.0
j'ai dormi sous l'eau (live bbc 1998),J'ai dormi sous l'eau - Live BBC 1998,air,Air,0.9459,1.0
don't make me wait (extended version),Don't Make Me Wait - Extended Version,peech boys,Peech Boys,0.9459,1.0
obscure desire (english extended mix),Obscure Desire - English Extended Mix,obscure desire,Obscure Desire,0.9459,1.0
fuhl dich frei (basso's maxi version),Fühl Dich Frei - Basso's Maxi Version,wolfsmond,Wolfsmond,0.9459,1.0
take off your clothes to feel the setting sun,Take off Your Clothes and Feel the Setting Sun,wolfgang dauner,Wolfgang Dauner,0.9451,1.0
born again freestyle (shed a tear),born again freestyle (shed a tear).mp3,samba jean-baptiste,Samba Jean-Baptiste,0.9444,1.0
uwaaj jak taczysz,Uważaj Jak Tańczysz,pejzaz,Pejzaż,0.9444,0.8333
just to see you smile (instrumental),Just to See You Smile - Instrumental,spacemen 3,Spacemen 3,0.9444,1.0
clinton space funk,Clintro Space Funk,mount liberation unlimited,Mount Liberation Unlimited,0.9444,1.0
andando en la luz fria (bonus track),Andando en la Luz Fría - Bonus Track,los encargados,Los Encargados,0.9444,1.0
that ain't right (krivit's klub mix),That Ain't Right - Krivit's Klub Mix,judy albanese,Judy Albanese,0.9444,1.0
"anytime, anyplace","Any Time, Any Place",janet jackson,Janet Jackson,0.9444,1.0
strolin on sunday,Strollin' On Sunday,cerrone,Cerrone,0.9444,1.0
uwaaj jak taczysz,Uważaj Jak Tańczysz,pejza,Pejzaż,0.9444,0.9091
you're not the one,You’re Not The One,sky ferreira,Sky Ferreira,0.9444,1.0
that'll be the day,That’ll Be the Day,"buddy holly,",Buddy Holly,0.9444,0.9565
where are we going? (alternate mix),Where Are We Going? - Alternate Mix,marvin gaye,Marvin Gaye,0.9429,1.0
leave your life (lonely hearts mix),Leave Your Life - Lonely Hearts Mix,alex kassian,Alex Kassian,0.9429,1.0
you look certain (i'm not so sure) (,You Look Certain (I’m Not So Sure),mount kimbie,Mount Kimbie;Andrea Balency,0.9429,0.6154
chuva na montanha,Chuva Da Montanha,lo borges,Lô Borges,0.9412,0.8889
love song,Lovesong,the cure,The Cure,0.9412,1.0
you only live twice (instrumental),You Only Live Twice - Instrumental,john barry,John Barry,0.9412,1.0
you don t know me,You Don't Know Me,caetano veloso,Caetano Veloso,0.9412,1.0
echoes (continental drift version),Echoes - Continental Drift Version,directions,Directions,0.9412,1.0
por voc com voce,"Por Você, Com Você",guilherme arantes,Guilherme Arantes,0.9412,1.0
i thought u knew,I Thought You Knew,eva noxious,Eva Noxious,0.9412,1.0
that's pretty clean (instrumental),That's Pretty Clean - Instrumental,sly & the family stone,Sly & The Family Stone,0.9412,1.0
lennon freestyle,Lennon (Freestyle),pa salieu,Pa Salieu,0.9412,1.0
en hst utan namin,En häst utan namn,family four,Family Four,0.9412,1.0
oh mr. dc,Oh Mr DC,sugar minott,Sugar Minott,0.9412,1.0
